tier,journal,container_title,year,title,authors,doi,abstract,is_oa,oa_pdf_url,landing_url,pdf_path
top5,American Economic Review,American Economic Review,2024,The Gender Gap in Confidence: Expected but Not Accounted For,Christine L. Exley; Kirby Nielsen,10.1257/aer.20221413,"We investigate how the gender gap in confidence affects the views that evaluators (e.g., employers) hold about men and women. We find the confidence gap is contagious, causing evaluators to form overly pessimistic beliefs about women. This result arises even though the confidence gap is expected and even though the confidence gap shouldn’t be contagious if evaluators are Bayesian. Only an intervention that facilitates Bayesian updating proves (somewhat) effective. Additional results highlight how similar findings follow even when there is no room for discriminatory motives or differences in priors because evaluators are asked about arbitrary, rather than gender-specific, groups. (JEL D82, D83, D91, J16, J22, M51)",0,,https://doi.org/10.1257/aer.20221413,
top5,American Economic Review,American Economic Review,2024,Anticipatory Anxiety and Wishful Thinking,Jan B. Engelmann; Maël Lebreton; Nahuel Salem-Garcia; Peter Schwardmann; Joël J. van der Weele,10.1257/aer.20191068,"Across five experiments (N = 1,714), we test whether people engage in wishful thinking to alleviate anxiety about adverse future outcomes. Participants perform pattern recognition tasks in which some patterns may result in an electric shock or a monetary loss. Diagnostic of wishful thinking, participants are less likely to correctly identify patterns that are associated with a shock or loss. Wishful thinking is more pronounced under more ambiguous signals and only reduced by higher accuracy incentives when participants’ cognitive effort reduces ambiguity. Wishful thinking disappears in the domain of monetary gains, indicating that negative emotions are important drivers of the phenomenon. (JEL C91, D12, D83, D91)",0,,https://doi.org/10.1257/aer.20191068,
top5,American Economic Review,American Economic Review,2024,Motivated Errors,Christine L. Exley; Judd B. Kessler,10.1257/aer.20191849,"Myriad environments allow for the possibility of confusion. Agents may appeal to such confusion—or the possibility of making an honest mistake—to justify their behavior. In three sets of experiments involving thousands of subjects, we document evidence of such motivated errors. We document this evidence in a simple environment in which the scope for errors is small and in more complex environments in which subjects display correlation neglect and an anchoring bias. (JEL C91, D12, D64, D81, D83, D91)",0,,https://doi.org/10.1257/aer.20191849,
top5,American Economic Review,American Economic Review,2024,Welfare Comparisons for Biased Learning,Mira Frick; Ryota Iijima; Yuhta Ishii,10.1257/aer.20210410,"We study robust welfare comparisons of learning biases (misspecified Bayesian and some forms of non-Bayesian updating). Given a true signal distribution, we deem one bias more harmful than another if it yields lower objective expected payoffs in all decision problems. We characterize this ranking in static and dynamic settings. While the static characterization compares posteriors signal by signal, the dynamic characterization employs an “efficiency index” measuring how fast beliefs converge. We quantify and compare the severity of several well-documented biases. We also highlight disagreements between the static and dynamic rankings, and that some “large” biases dynamically outperform other “vanishingly small” biases. (JEL D60, D82, D83, D91)",1,https://scholarsphere.psu.edu/resources/4423999e-e6a8-447c-aff5-c71c98b48aad/downloads/42663,https://scholarsphere.psu.edu/resources/4423999e-e6a8-447c-aff5-c71c98b48aad/downloads/42663,pdfs/2024_American Economic Review_Welfare Comparisons for Biased Learning_10.1257_aer.20210410.pdf
top5,American Economic Review,American Economic Review,2025,Robust Monopoly Regulation,Yingni Guo; Eran Shmaya,10.1257/aer.20191950,"We study how to regulate a monopolistic firm using a robust-design, non-Bayesian approach. We derive a policy that minimizes the regulator’s worst-case regret, where regret is the difference between the regulator’s complete-information payoff and his realized payoff. When the regulator’s payoff is consumers’ surplus, he caps the firm’s average revenue. When his payoff is the total surplus of both consumers and the firm, he offers a piece rate subsidy to the firm while capping the total subsidy. For intermediate cases, the regulator combines these three policy instruments to balance three goals: protecting consumers’ surplus, mitigating underproduction, and limiting potential overproduction. (JEL D21, D42, D83, H25, L51)",0,,https://doi.org/10.1257/aer.20191950,
top5,American Economic Review,American Economic Review,2019,Optimal Taxation with Behavioral Agents,Emmanuel Farhi; Xavier Gabaix,10.1257/aer.20151079,"This paper develops a theory of optimal taxation with behavioral agents. We use a general framework that encompasses a wide range of biases such as misperceptions and internalities. We revisit the three pillars of optimal taxation: Ramsey (linear commodity taxation to raise revenues and redistribute), Pigou (linear commodity taxation to correct externalities), and Mirrlees (nonlinear income taxation). We show how the canonical optimal tax formulas are modified and lead to novel economic insights. We also show how to incorporate nudges in the optimal taxation framework, and jointly characterize optimal taxes and nudges. (JEL D62, D91, H21)",1,http://www.nber.org/papers/w21524.pdf,http://www.nber.org/papers/w21524.pdf,
top5,American Economic Review,American Economic Review,2022,Dispersed Behavior and Perceptions in Assortative Societies,Mira Frick; Ryota Iijima; Yuhta Ishii,10.1257/aer.20190486,"We formulate a model of social interactions and misinferences by agents who neglect assortativity in their society, mistakenly believing that they interact with a representative sample of the population. A key component of our approach is the interplay between this bias and agents’ strategic incentives. We highlight a mechanism through which assortativity neglect, combined with strategic complementarities in agents’ behavior, drives up action dispersion in society (e.g., socioeconomic disparities in education investment). We also suggest that the combination of assortativity neglect and strategic incentives may be relevant in understanding empirically documented misperceptions of income inequality and political attitude polarization. (JEL C78, D11, D31, D72, D82, D91)",1,https://scholarsphere.psu.edu/resources/41d769d9-d4b3-4058-8253-86b392f408f8/downloads/32159,https://scholarsphere.psu.edu/resources/41d769d9-d4b3-4058-8253-86b392f408f8/downloads/32159,pdfs/2022_American Economic Review_Dispersed Behavior and Perceptions in Assortative Societies_10.1257_aer.20190486.pdf
top5,American Economic Review,American Economic Review,2024,Opportunity Unraveled: Private Information and the Missing Markets for Financing Human Capital,Daniel Herbst; Nathaniel Hendren,10.1257/aer.20211653,"We examine whether adverse selection has unraveled private markets for equity and state-contingent debt contracts for financing higher education. Using survey data on beliefs, we show a typical college-goer would have to repay $1.64 in present value for every $1 of financing to overcome adverse selection in an equity market. We find that risk-averse college-goers are not willing to accept these terms, so markets unravel. We discuss why moral hazard, biased beliefs, and outside credit options are less likely to explain the absence of these markets. We quantify the welfare gains for subsidizing equity-like contracts that mitigate college-going risks. (JEL D82, D83, G51, I22, I23, I26, J24)",0,,https://doi.org/10.1257/aer.20211653,
top5,American Economic Review,American Economic Review,2019,Optimal Dynamic Allocation of Attention,Yeon‐Koo Che; Konrad Mierendorff,10.1257/aer.20171000,"We consider a decision maker (DM) who, before taking an action, seeks information by allocating her limited attention dynamically over different news sources that are biased toward alternative actions. Endogenous choice of information generates rich dynamics: the chosen news source either reinforces or weakens the prior, shaping subsequent attention choices, belief updating, and the final action. The DM adopts a learning strategy biased toward the current belief when the belief is extreme and against that belief when it is moderate. Applied to consumption of news media, observed behavior exhibits an “ echo-chamber” effect for partisan voters and a novel “ anti-echo-chamber” effect for moderates. (JEL D72, D83, D91, L82)",1,https://arxiv.org/pdf/1812.06967,https://arxiv.org/pdf/1812.06967,pdfs/2019_American Economic Review_Optimal Dynamic Allocation of Attention_10.1257_aer.20171000.pdf
top5,American Economic Review,American Economic Review,2024,Quality Is in the Eye of the Beholder: Taste Projection in Markets with Observational Learning,Tristan Gagnon-Bartsch; Antonio Rosato,10.1257/aer.20230814,"We study how misperceptions of others’ tastes influence beliefs, demand, and prices in markets with observational learning. Consumers infer a good’s quality from the quantity demanded and price paid by others. When consumers exaggerate the similarity between their and others’ tastes, such “taste projection” generates discrepant quality perceptions, which are decreasing in a projector’s taste and increasing in the observed price. These biased inferences produce an excessively elastic market demand. We also analyze dynamic monopoly pricing with short-lived taste-projecting consumers. Optimal pricing follows a declining path: a high initial price inflates future buyers’ perceptions, and lower subsequent prices induce overadoption. (JEL D42, D83, D91, L15)",0,,https://doi.org/10.1257/aer.20230814,
top5,American Economic Review,American Economic Review,2025,The Negligible Effect of Free Contraception on Fertility: Experimental Evidence from Burkina Faso,Pascaline Dupas; Seema Jayachandran; Adriana Lleras‐Muney; Pauline Rossi,10.1257/aer.20241305,"We conducted a randomized trial among 14,545 households in rural Burkina Faso to test the oft-cited hypothesis that limited access to contraception is an important driver of high fertility rates in West Africa. We do not find support for this hypothesis. Women who were given free access to modern contraception for three years did not have lower birth rates; we can reject even modest effects. We cross-randomized additional interventions to address inefficiencies that might depress demand for free contraception, specifically misperceptions about the child mortality rate and social norms. Free contraception did not significantly influence fertility even in combination with these interventions. (JEL D12, J13, J16, J18, O12)",1,https://hal.science/hal-05272203/document,https://hal.science/hal-05272203/document,pdfs/2025_American Economic Review_The Negligible Effect of Free Contraception on Fertility_ Experimental Evidence from Burkina Faso_10.1257_aer.20241305.pdf
top5,American Economic Review,American Economic Review,2025,Cursed Sequential Equilibrium,Meng-Jhang Fong; Po-Hsuan Lin; Thomas R. Palfrey,10.1257/aer.20231130,"This paper develops a framework to extend the strategic form analysis of cursed equilibrium (CE) developed by Eyster and Rabin (2005) to multistage games. The approach uses behavioral strategies rather than normal form mixed strategies and imposes sequential rationality. We define and characterize properties of cursed sequential equilibrium (CSE) and apply it to four canonical economic applications: signaling games, reputation building, durable goods monopoly, and the dirty faces game. These applications illustrate various implications of CSE, show how and why it differs from sequential equilibrium and CE, and provide evidence from laboratory experiments that support the empirical relevance of CSE. (JEL C72, C73, D42, D82, D83)",0,,https://doi.org/10.1257/aer.20231130,
top5,American Economic Review,American Economic Review,2020,Optimally Imprecise Memory and Biased Forecasts,Rava Azeredo da Silveira; Yeji Sung; Michael Woodford,10.1257/aer.20201806,"We propose a model of optimal decision making subject to a memory constraint. The constraint is a limit on the complexity of memory measured using Shannon's mutual information, as in models of rational inattention; but our theory differs from that of Sims (2003) in not assuming costless memory of past cognitive states. We show that the model implies that both forecasts and actions will exhibit idiosyncratic random variation; that average beliefs will also differ from rational-expectations beliefs, with a bias that fluctuates forever with a variance that does not fall to zero even in the long run; and that more recent news will be given disproportionate weight in forecasts. We solve the model under a variety of assumptions about the degree of persistence of the variable to be forecasted and the horizon over which it must be forecasted, and examine how the nature of forecast biases depends on these parameters. The model provides a simple explanation for a number of features of reported expectations in laboratory and field settings, notably the evidence of over-reaction in elicited forecasts documented by Afrouzi et al. (2020) and Bordalo et al. (2020a).Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at www.nber.org.",1,,https://doi.org/10.2139/ssrn.3731244,
top5,American Economic Review,American Economic Review,2026,“Potential” and the Gender Promotion Gap,Alan Benson; Danielle Li; Kelly Shue,10.1257/aer.20220831,"We show that subjective assessments of employee “potential” contribute to gender gaps in promotion and pay. Using data on 29,809 management-track employees from a large retail chain, we find that women receive substantially lower potential ratings despite receiving higher performance ratings. Differences in potential ratings account for approximately half of the gender promotion gap. Women’s lower potential ratings do not reflect accurate forecasts of future performance: Women subsequently outperform male colleagues, both on average and on the margin of promotion. We highlight two mechanisms driving the gender potential gap: strategic retention and stereotyping. (JEL J16, J31, J71, L81, M12, M51)",0,,https://doi.org/10.1257/aer.20220831,
top5,American Economic Review,American Economic Review,2026,Sequential Cursed Equilibrium,Shani Cohen; Shengwu Li,10.1257/aer.20230309,"We propose an extensive-form solution concept, with players who neglect information from hypothetical events but make inferences from observed events. Our concept modifies cursed equilibrium (Eyster and Rabin 2005) and allows that players can be cursed about endogenous information. (JEL C73, D44, D71, D81, D83, D91)",0,,https://doi.org/10.1257/aer.20230309,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2023,Cognitive Uncertainty,Benjamin Enke; Thomas Graeber,10.1093/qje/qjad025,"Abstract This article documents the economic relevance of measuring cognitive uncertainty: people’s subjective uncertainty over their ex ante utility-maximizing decision. In a series of experiments on choice under risk, the formation of beliefs, and forecasts of economic variables, we show that cognitive uncertainty predicts various systematic biases in economic decisions. When people are cognitively uncertain—either endogenously or because the problem is designed to be complex—their decisions are heavily attenuated functions of objective probabilities, which gives rise to average behavior that is regressive to an intermediate option. This insight ties together a wide range of empirical regularities in behavioral economics that are typically viewed as distinct phenomena or even as reflecting preferences, including the probability weighting function in choice under risk; base rate insensitivity, conservatism, and sample size effects in belief updating; and predictable overoptimism and -pessimism in forecasts of economic variables. Our results offer a blueprint for how a simple measurement of cognitive uncertainty generates novel insights about what people find complex and how they respond to it.",0,,https://doi.org/10.1093/qje/qjad025,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2021,"Identity, Beliefs, and Political Conflict",Giampaolo Bonomi; Nicola Gennaioli; Guido Tabellini,10.1093/qje/qjab034,"Abstract We present a theory of identity politics that builds on two ideas. First, when policy conflict renders a certain social divide—economic or cultural—salient, a voter identifies with her economic or cultural group. Second, the voter slants her beliefs toward the stereotype of the group she identifies with. We obtain three implications. First, voters’ beliefs are polarized along the distinctive features of salient groups. Second, if the salience of cultural policies increases, cultural conflict rises, redistributive conflict falls, and polarization becomes more correlated across issues. Third, economic shocks hurting conservative voters may trigger a switch to cultural identity, causing these voters to demand less redistribution. We discuss U.S. survey evidence in light of these implications.",1,https://academic.oup.com/qje/article-pdf/136/4/2371/40566470/qjab034.pdf,https://academic.oup.com/qje/article-pdf/136/4/2371/40566470/qjab034.pdf,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2020,What You See Is All There Is*,Benjamin Enke,10.1093/qje/qjaa012,"Abstract News reports and communication are inherently constrained by space, time, and attention. As a result, news sources often condition the decision of whether to share a piece of information on the similarity between the signal and the prior belief of the audience, which generates a sample selection problem. This article experimentally studies how people form beliefs in these contexts, in particular the mechanisms behind errors in statistical reasoning. I document that a substantial fraction of experimental participants follows a simple “what you see is all there is” heuristic, according to which participants exclusively consider information that is right in front of them, and directly use the sample mean to estimate the population mean. A series of treatments aimed at identifying mechanisms suggests that for many participants, unobserved signals do not even come to mind. I provide causal evidence that the frequency of such incorrect mental models is a function of the computational complexity of the decision problem. These results point to the context dependence of what comes to mind and the resulting errors in belief updating.",0,,https://doi.org/10.1093/qje/qjaa012,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2023,Overreaction in Expectations: Evidence and Theory,Hassan Afrouzi; Spencer Yongwook Kwon; Augustin Landier; Yueran Ma; David Thesmar,10.1093/qje/qjad009,"Abstract We investigate biases in expectations across different settings through a large-scale randomized experiment where participants forecast stable stochastic processes. The experiment allows us to control forecasters’ information sets as well as the data-generating process, so we can cleanly measure biases in beliefs. We report three facts. First, forecasts display significant overreaction to the most recent observation. Second, overreaction is stronger for less persistent processes. Third, overreaction is also stronger for longer forecast horizons. We develop a tractable model of expectations formation with costly processing of past information, which closely fits the empirical facts. We also perform additional experiments to test the mechanism of the model.",0,,https://doi.org/10.1093/qje/qjad009,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2021,"Ownership, Learning, and Beliefs",Samuel M. Hartzmark; Samuel Hirshman; Alex Imas,10.1093/qje/qjab010,"Abstract We examine how owning a good affects learning and beliefs about its quality. We show that people have more extreme reactions to information about a good they own compared with the same information about a nonowned good: ownership causes more optimistic beliefs after receiving a positive signal and more pessimistic beliefs after receiving a negative signal. Comparing learning to normative benchmarks reveals that people overextrapolate from signals about goods they own, which leads to an overreaction to information; in contrast, learning is close to Bayesian for nonowned goods. We provide direct evidence that this effect is driven by ownership channeling greater attention toward associated information, which leads people to overweight recent signals when forming beliefs. The relationship between ownership and beliefs has testable implications for trade and market expectations. In line with these predictions, we show that the endowment effect doubles in response to positive information and disappears with negative information, and demonstrate a significant relationship between ownership and overextrapolation in survey data about stock market expectations.",0,,https://doi.org/10.1093/qje/qjab010,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2023,Gender Differences in Job Search and the Earnings Gap: Evidence from the Field and Lab,Patricia Cortés; Jessica Pan; Laura Pilossoph; Ernesto Reuben; Basit Zafar,10.1093/qje/qjad017,"Abstract This article investigates gender differences in the job search process in the field and lab. Our analysis is based on rich information on initial job offers and acceptances from undergraduates of Boston University’s Questrom School of Business. We find (i) a clear gender difference in the timing of job offer acceptance, with women accepting jobs substantially earlier than men, and (ii) a sizable gender earnings gap in accepted offers, which narrows in favor of women over the course of the job search period. To understand these patterns, we develop a job search model that incorporates gender differences in risk aversion and overoptimism about prospective offers. We validate the model’s assumptions and predictions using the survey data and present empirical evidence that the job search patterns in the field can be partly explained by the greater risk aversion displayed by women and the higher levels of overoptimism displayed by men. We replicate these findings in a laboratory experiment that features sequential job search and provide direct evidence on the purported mechanisms. Our findings highlight the importance of risk preferences and beliefs for gender differences in job-finding behavior and, consequently, early-career wage gaps among the highly educated.",1,https://academic.oup.com/qje/advance-article-pdf/doi/10.1093/qje/qjad017/50117666/qjad017.pdf,https://academic.oup.com/qje/advance-article-pdf/doi/10.1093/qje/qjad017/50117666/qjad017.pdf,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2023,Learning from Shared News: When Abundant Information Leads to Belief Polarization,T. Renee Bowen; Danil Dmitriev; Simone Galperti,10.1093/qje/qjac045,"Abstract We study learning via shared news. Each period agents receive the same quantity and quality of firsthand information and can share it with friends. Some friends (possibly few) share selectively, generating heterogeneous news diets across agents. Agents are aware of selective sharing and update beliefs by Bayes’s rule. Contrary to standard learning results, we show that beliefs can diverge in this environment, leading to polarization. This requires that (i) agents hold misperceptions (even minor) about friends’ sharing and (ii) information quality is sufficiently low. Polarization can worsen when agents’ friend networks expand. When the quantity of firsthand information becomes large, agents can hold opposite extreme beliefs, resulting in severe polarization. We find that news aggregators can curb polarization caused by news sharing. Our results hold without media bias or fake news, so eliminating these is not sufficient to reduce polarization. When fake news is included, it can lead to polarization but only through misperceived selective sharing. We apply our theory to shed light on the polarization of public opinion about climate change in the United States.",0,,https://doi.org/10.1093/qje/qjac045,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2024,Overinference from Weak Signals and Underinference from Strong Signals,Ned Augenblick; Eben Lazarus; Michael Thaler,10.1093/qje/qjae032,"Abstract When people receive new information, sometimes they revise their beliefs too much, and sometimes too little. We show that a key driver of whether people overinfer or underinfer is the strength of the information. Based on a model in which people know which direction to update in, but not exactly how much to update, we hypothesize that people will overinfer from weak signals and underinfer from strong signals. We then test this hypothesis across four different environments: abstract experiments, a naturalistic experiment, sports betting markets, and financial markets. In each environment, our consistent and robust finding is overinference from weak signals and underinference from strong signals. Our framework and findings can help harmonize apparently contradictory results from the experimental and empirical literatures.",1,https://academic.oup.com/qje/advance-article-pdf/doi/10.1093/qje/qjae032/59748387/qjae032.pdf,https://academic.oup.com/qje/advance-article-pdf/doi/10.1093/qje/qjae032/59748387/qjae032.pdf,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2025,Investor Memory and Biased Beliefs: Evidence from the Field,Zhengyang Jiang; Hongqi Liu; Cameron Peng; Hongjun Yan,10.1093/qje/qjaf035,"Abstract We survey a large, representative sample of retail investors in China to elicit their memories of stock market investments and their return expectations. We merge these survey data with administrative transaction data to test a model in which investors selectively recall past experiences to form their beliefs. Our analysis uncovers new facts about investor memory and highlights similarity-based recall as a key mechanism of belief formation in financial markets. A rising market prompts investors to recall their past experiences more positively, leading to more optimistic forecasts of future returns. Recalled experiences can explain cross-investor variation in return expectations and, in our setting, dominate actual experiences in their explanatory power. In the transaction data, we confirm that recalled experiences are reflected in investors’ trading decisions through a belief channel.",1,,https://doi.org/10.1093/qje/qjaf035,
top5,Quarterly Journal of Economics,The Quarterly Journal of Economics,2023,Seeing What is Representative,Ignacio Esponda; Ryan Oprea; Sevgi Yüksel,10.1093/qje/qjad020,"Abstract We provide evidence for a bias that we call “representative signal distortion” (RSD), which is particularly relevant to settings of statistical discrimination. Experimental subjects distort their evaluation of new evidence on individual group members and interpret such information to be more representative of the group to which the individual belongs (relative to a reference group) than it really is. This produces a discriminatory gap in the evaluation of members of the two groups. Because it is driven by representativeness, the bias (and the discriminatory gap) disappears when subjects are prevented from contrasting different groups; because it is a bias in the interpretation of information, it disappears when subjects receive information before learning of the individual’s group. We show that this bias can be easily estimated from appropriately constructed data sets and can be distinguished from previously documented inferential biases in the literature. Importantly, we document how removing the bias produces a kind of free lunch in reducing discrimination, making it possible to significantly reduce discrimination without lowering accuracy of inferences.",0,,https://doi.org/10.1093/qje/qjad020,
